company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
SOCIAL WORK PARTNERS PAYROLL LTD,16978022,active,ltd,,,2026-01-21,,2026-01-21,"[78200, 78300]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
MAMASHAKES LTD,16939373,active,ltd,,,2026-01-02,,2026-01-02,"[85520, 86900, 90010]","Suite 53c, Unimix House London England NW10 7TR",,,
FA 313 INVESTMENTS LTD,16962248,active,ltd,,,2026-01-14,,2026-01-14,"[70210, 70229, 96090]",Hoxton Mix London England EC2A 4NA,,,
AL-SALWI LTD,16979844,active,ltd,,,2026-01-21,,2026-01-21,[47910],Flat 17 Allbrook House London England SW15 4HB,,,
FOSTER STRATEGIES 1000 LTD,16960959,active,ltd,,,2026-01-13,,2026-01-13,[68209],28a Devonshire Street London England W1G 6PS,,,
PROPERTY POUCH LTD,16988098,active,ltd,,,2026-01-26,,2026-01-26,[68209],167-169 Great Portland Street London W1W 5PF,,,
KES SVEISE & REPARASJON LIMITED,16990445,active,ltd,,,2026-01-27,,2026-01-27,[99999],27 Old Gloucester Street London United Kingdom WC1N 3AX,,,
WORKINGK9 LIMITED,16980543,active,ltd,,,2026-01-22,,2026-01-22,[99999],27 Old Gloucester Street London United Kingdom WC1N 3AX,,,
SABI JEWELLERS LTD,16983106,active,ltd,,,2026-01-23,,2026-01-23,[47770],124 City Road London United Kingdom EC1V 2NX,,,
SHAHEEN MART LTD,16996184,active,ltd,,,2026-01-28,,2026-01-28,"[47910, 47990]",31 31 Rixsen Road London England E12 6RN,,,
NAMTIK VENTURES LTD,16990706,active,ltd,,,2026-01-27,,2026-01-27,[47910],Flat 10 Victoria House London SE16 7DX,,,
QUOD-TECH LTD,16984972,active,ltd,,,2026-01-24,,2026-01-24,"[62012, 62020, 62090, 70229]",124 City Road London England EC1V 2NX,https://quod-tech.com,,Confirmed
